"","gene","p_val","p_val_adj","avg_log2FC","celltype"
"MECOM","MECOM",0,2e-04,8.71,"FAP1"
"EPHA6...2","EPHA6",0,0.001,3.19,"FAP1"
"MT-CO3","MT-CO3",2e-04,0.0027,1.61,"FAP4"
"SLPI...4","SLPI",0,0.0031,4.13,"FAP1"
"AC004160.1","AC004160.1",0,0.0051,2.72,"FAP3"
"DKK2","DKK2",0,0.0057,3.85,"FAP3"
"NEAT1","NEAT1",5e-04,0.0062,2.44,"FAP4"
"MT-CO1","MT-CO1",6e-04,0.0067,1.46,"FAP4"
"KAZN","KAZN",0,0.007,2.12,"FAP3"
"HPSE2","HPSE2",0,0.007,3.14,"FAP3"
"FN1","FN1",7e-04,0.0073,4.74,"FAP4"
"LUCAT1","LUCAT1",0,0.0089,2.95,"FAP3"
"LRP1B","LRP1B",0,0.0089,3.86,"FAP3"
"MT-ATP6","MT-ATP6",9e-04,0.0091,1.13,"FAP4"
"EPHA6...15","EPHA6",0,0.0106,4.1,"FAP3"
"MT-CO2","MT-CO2",0.0012,0.0109,1.2,"FAP4"
"APLP2","APLP2",0.0014,0.0124,1.7,"FAP4"
"LHFPL6","LHFPL6",0.0015,0.0127,2.76,"FAP4"
"AC004917.1","AC004917.1",0,0.0145,2.05,"FAP1"
"PTGFR","PTGFR",0,0.0145,2.29,"FAP1"
"AC011511.5","AC011511.5",0,0.0145,3.03,"FAP1"
"ZNF608","ZNF608",0,0.0145,4.49,"FAP1"
"EFNA5","EFNA5",0,0.0151,2.05,"FAP1"
"AMPD3","AMPD3",0,0.0156,3.58,"FAP3"
"SNED1","SNED1",0.0021,0.0167,3.83,"FAP4"
"AC109927.1","AC109927.1",0,0.0174,1.9,"FAP3"
"PLA2G2A...27","PLA2G2A",0,0.0174,2.67,"FAP3"
"RUNX1","RUNX1",0.0023,0.0176,3.46,"FAP4"
