"","gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","kME_red","kME_black","kME_greenyellow","kME_green","kME_purple","kME_magenta"
"TTN","TTN","pink","pink",0.361493543879147,-0.0232919272886607,-0.031951640793741,-0.0267227038451559,0.000989301811278322,-0.0597841866326754,-0.0382209437335627,0.00438013739745445,-0.0654427742898993,0.0265406214128188,0.0442185857169744,0.0283908016944023
"MCTP1","MCTP1","pink","pink",0.819386651771237,-0.0756444432327961,-0.216489056355449,-0.0326338353875654,-0.0914466645647472,-0.132979400111212,-0.105861366660341,0.0309522233052551,-0.104517666416054,-0.046059214269101,-0.0860426534853023,-0.00778182073335182
"NEB","NEB","blue","blue",0.0327772545427756,0.17078049037696,0.0441335668320945,-0.00345092234461081,0.0136828695969427,0.0569095416632368,0.028507668378989,-0.0149879339549234,-0.00817655614372987,-0.0144087117627527,0.0135452725988642,-0.062839570089305
"ADAMTS9","ADAMTS9","pink","pink",0.734222434871605,-0.0700834665173772,-0.264629972568376,0.147599968591444,-0.124969241637517,-0.115417426004132,-0.128131963053048,0.0586155926209759,-0.107836221184404,-0.0533008423155729,-0.119023983140857,-0.0349834431394286
"PTPRC","PTPRC","pink","pink",0.137924804946701,-0.0153646198724992,-0.0684785589358131,0.0750565094184332,-0.035069992521378,-0.0217381770752735,-0.0385958418429033,0.0207337225737344,-0.0269482411515885,-0.0129942037894349,-0.0371175968613449,-0.0228682019447682
"TNC","TNC","yellow","yellow",0.055625394081987,-0.00701007502252152,-0.306467764107137,0.611270212831352,-0.200438659576153,0.101629083330156,-0.100788642152729,0.26353120463355,-0.0848547937275779,0.0707935742040324,-0.144507009602774,-0.141032693431969
"LRRTM4","LRRTM4","turquoise","turquoise",-0.134017830699514,0.068615319586271,0.302887911607006,-0.301826531590127,0.322383928124603,-0.0339860840826891,0.197823739671273,-0.214299724029553,-0.166439352042943,0.0124551944606893,0.40600426917828,0.114638000931061
"RGS6","RGS6","yellow","yellow",0.0228205622525831,-0.0110520368574772,-0.0904681846424214,0.21191020190957,-0.0473510185771583,-0.00267043133436435,-0.0210698785012957,0.0257382418693761,-0.0161934691954883,-0.0250580906169414,-0.0534486269099601,-0.0178330326441682
"KYNU","KYNU","yellow","yellow",0.124445115009913,-0.033154367552654,-0.330150534139432,0.783562755962311,-0.176571244732368,0.033969683717779,-0.146849718548532,0.0857070253795224,-0.0904174761805177,-0.0554133358458841,-0.191071087531795,-0.125721878763825
"TLL1","TLL1","yellow","yellow",0.0420293647753226,-0.0195758370654776,-0.181368193596421,0.4709167469473,-0.0991504444518553,0.0293013331628548,-0.0889734868234851,0.0524974856913645,-0.0558210296616126,-0.0261156563930701,-0.115882508673316,-0.0829634026934702
"MMP3","MMP3","yellow","yellow",-0.00131718666227193,-0.0385858434327753,-0.261053226854356,0.377884659542471,-0.301288951941191,0.319488490971147,0.0204164300706738,-0.00931089262095438,-0.0732315262549971,-0.166029213100412,-0.123749544436771,-0.222985947147156
"IL1B","IL1B","pink","pink",0.157091039753056,-0.0335771576707561,0.0143823493231756,-0.0188827348087605,-0.00954064133440994,-0.0150664269925676,-0.0577173443043623,0.000671725974861089,-0.0470071480548907,0.0904539796964731,0.0494511058969182,0.011754414231156
